[2026-06-03T11:26:54.131Z] GET http://localhost:8765/ → 200 (17ms, 2832B)
[2026-06-03T11:26:54.157Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400&display=swap → 200 (139ms, 5014B)
[2026-06-03T11:26:54.157Z] GET http://localhost:8765/lk.svg → 200 (31ms, 6566B)
[2026-06-03T11:26:54.315Z] GET http://localhost:8765/lk.svg → 200 (2ms, 6566B)
[2026-06-03T11:26:54.316Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (96ms, 48432B)
[2026-06-03T11:27:26.433Z] GET http://localhost:8765/ → 200 (15ms, 2832B)
[2026-06-03T11:27:26.450Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400&display=swap → 200 (?ms, 5014B)
[2026-06-03T11:27:26.450Z] GET http://localhost:8765/lk.svg → 200 (4ms, 6566B)
[2026-06-03T11:27:26.452Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-06-03T11:27:26.453Z] GET http://localhost:8765/lk.svg → 200 (?ms, 6566B)
[2026-06-03T11:27:40.084Z] GET http://localhost:8765/ → 200 (8ms, 2832B)
[2026-06-03T11:27:40.163Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400&display=swap → 200 (?ms, 5014B)
[2026-06-03T11:27:40.163Z] GET http://localhost:8765/lk.svg → 200 (?ms, 6566B)
[2026-06-03T11:27:40.164Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-06-03T11:27:40.164Z] GET http://localhost:8765/lk.svg → 200 (?ms, 6566B)
[2026-06-03T11:27:40.231Z] GET http://localhost:8765/lk.svg → 200 (2ms, 6566B)
[2026-06-03T11:27:53.708Z] GET http://localhost:8765/ → 200 (7ms, 2832B)
[2026-06-03T11:27:53.720Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400&display=swap → 200 (1ms, 5014B)
[2026-06-03T11:27:53.721Z] GET http://localhost:8765/lk.svg → 200 (?ms, 6566B)
[2026-06-03T11:27:53.722Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-06-03T11:27:53.722Z] GET http://localhost:8765/lk.svg → 200 (4ms, 6566B)
[2026-06-03T11:27:53.981Z] GET http://localhost:8765/ → 200 (2ms, 2832B)
[2026-06-03T11:27:53.985Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400&display=swap → 200 (?ms, 5014B)
[2026-06-03T11:27:53.985Z] GET http://localhost:8765/lk.svg → 200 (2ms, 6566B)
[2026-06-03T11:27:53.989Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-06-03T11:27:53.989Z] GET http://localhost:8765/lk.svg → 200 (1ms, 6566B)
